API_UWI,Unformatted_API_UWI,API_UWI_12,Unformatted_API_UWI_12,API_UWI_14,Unformatted_API_UWI_14,WellID,CompletionID,WellPadID,CompletionNumber,WellName,Country,StateProvince,County,Lease,LeaseName,ENVOperator,RawOperator,InitialOperator,ENVWellServiceProvider,ENVProdWellType,StateWellType,ENVWellType,ENVRegion,ENVBasin,ENVPlay,ENVWellStatus,ENVWellboreStatus,OnConfidential,OffConfidentialDate,Trajectory,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,District,Field,Survey,Block,Abstract,Platform,Section,Township,Range,Section_Township_Range,Unit_Name,Vintage,FirstProdQuarter,FirstProdMonth,ENVElevationKB_FT,ENVElevationKBSource,ENVElevationGL_FT,ENVElevationGLSource,CoordinateSource,PermitApprovedDate,PermitSubmittedDate,SpudDate,DrillingEndDate,RigReleaseDate,CompletionDate,ENVFracJobType,UpperPerf_FT,LowerPerf_FT,PerfInterval_FT,LateralLength_FT,Proppant_LBS,TotalFluidPumped_BBL,TestDate,ChokeSize_64IN,TestRate_BOEPerDAY,TestRate_BOEPerDAYPer1000FT,TestRate_MCFEPerDAY,OilTestRate_BBLPerDAY,OilTestRate_BBLPerDAYPer1000FT,GasTestRate_MCFPerDAY,GasTestRate_MCFPerDAYPer1000FT,WaterTestRate_BBLPerDAY,WaterTestRate_BBLPerDAYPer1000Ft,CasingPressure_PSI,FlowingTubingPressure_PSI,ShutInPressure_PSI,OilTestMethodName,OilGravity_API,GasGravity_SG,First3MonthProd_BOE,First3MonthProd_BOEPer1000FT,First3MonthGas_MCF,First3MonthGas_MCFPer1000FT,First3MonthProd_MCFE,First3MonthProd_MCFEPer1000FT,First3MonthOil_BBL,First3MonthOil_BBLPer1000FT,First3MonthWater_BBL,First6MonthProd_BOE,First6MonthProd_BOEPer1000FT,First6MonthGas_MCF,First6MonthGas_MCFPer1000FT,First6MonthProd_MCFE,First6MonthProd_MCFEPer1000FT,First6MonthOil_BBL,First6MonthOil_BBLPer1000FT,First6MonthWater_BBL,First9MonthProd_BOE,First9MonthProd_BOEPer1000FT,First9MonthGas_MCF,First9MonthGas_MCFPer1000FT,First9MonthProd_MCFE,First9MonthProd_MCFEPer1000FT,First9MonthOil_BBL,First9MonthOil_BBLPer1000FT,First9MonthWater_BBL,First12MonthProd_BOE,First12MonthProd_BOEPer1000FT,First12MonthGas_MCF,First12MonthGas_MCFPer1000FT,First12MonthProd_MCFE,First12MonthProd_MCFEPer1000FT,First12MonthOil_BBL,First12MonthOil_BBLPer1000FT,First12MonthWater_BBL,First36MonthProd_BOE,First36MonthProd_BOEPer1000FT,First36MonthGas_MCF,First36MonthGas_MCFPer1000FT,First36MonthProd_MCFE,First36MonthProd_MCFEPer1000FT,First36MonthOil_BBL,First36MonthOil_BBLPer1000FT,First36MonthWater_BBL,First36MonthWaterProductionBBLPer1000Ft,PeakProductionDate,MonthsToPeakProduction,PeakProd_BOE,PeakProd_BOEPer1000FT,PeakGas_MCF,PeakGas_MCFPer1000FT,PeakProd_MCFE,PeakProd_MCFEPer1000FT,PeakOil_BBL,PeakOil_BBLPer1000FT,PeakWater_BBL,CumProd_BOE,CumProd_BOEPer1000FT,CumGas_MCF,CumGas_MCFPer1000FT,CumProd_MCFE,CumProd_MCFEPer1000FT,CumOil_BBL,CumOil_BBLPer1000FT,CumWater_BBL,TotalProducingMonths,LastProdDate,LastMonthLiquidsProduction_BBL,LastMonthGasProduction_MCF,LastMonthWaterProduction_BBL,Last12MonthBOEProduction,Last12MonthGasProduction_MCF,Last12MonthOilProduction_BBL,Last12MonthWaterProduction_BBL,WHLiquids_PCT,GOR_ScfPerBbl,FirstProdYear
42-227-39934,4222739934,42-227-39934-01,4.22274E+11,42-227-39934-01-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-39868,,SYCAMORE 10LS,US,TX,HOWARD,53125,SYCAMORE,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,UNREPORTED,,,DIRECTIONAL,TREND AREA,2019/9/1,32.347809,-101.675553,32.348337,-101.675793,7738,7800,8,SPRABERRY,BAUER & COCKRELL,A,589,,40,,,,SYCAMORE,2019,2019-Q3,Sep-19,2601,ACTUAL,2576,ACTUAL,ACTUAL,2018/12/20,2018/12/19,2019/1/12,,2019/6/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
42-227-39934,4222739934,42-227-39934-00,4.22274E+11,42-227-39934-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-39868,1,SYCAMORE 10LS,US,TX,HOWARD,53125,SYCAMORE,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/9/1,32.347809,-101.675553,32.370273,-101.682836,7834,16057,8,SPRABERRY,BAUER & COCKRELL,A,589,,40,,,,SYCAMORE,2019,2019-Q3,Sep-19,2601,ACTUAL,2576,ACTUAL,ACTUAL,2018/12/20,2018/12/19,2019/1/12,2019/6/4,2019/6/4,2019/9/11,SLICKWATER HC,8393,15859,7466,8041,13751289,362982,2019/10/16,,270,36,1618,229,31,244,33,4234,567,,,,PUMPING,39,,15961,2138,14424,1932,95768,12827,13557,1816,250357,28741,3850,33502,4487,172449,23098,23158,3102,426180,36958,4950,48370,6479,221749,29701,28896,3870,530236,43020,5762,60146,8056,258119,34573,32995,4419,603808,59633,7987,85769,11488,357800,47924,45338,6073,817537,109501,2019/10/1,2,7271,974,6614,886,43627,5843,6206,831,114739,64893,8692,90644,12141,389358,52151,49786,6668,887989,67,2025/3/1,75,71,1118,1281,1191,1083,16473,77,1821,2019
42-227-39935,4222739935,42-227-39935-00,4.22274E+11,42-227-39935-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-39935,1,SYCAMORE E 11LS,US,TX,HOWARD,53070,SYCAMORE E,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/9/1,32.348504,-101.672618,32.370555,-101.679692,7834,16010,8,SPRABERRY,BAUER & COCKRELL,A,589,,40,,,,SYCAMORE E,2019,2019-Q3,Sep-19,2595,ACTUAL,2565,ACTUAL,ACTUAL,2018/12/21,2018/12/19,2019/1/14,2019/5/14,2019/5/14,2019/9/25,SLICKWATER HC,8354,15820,7466,7729,13728488,360920,2019/10/15,,552,74,3311,483,65,413,55,3407,456,,,,PUMPING,39,,29457,3945,23832,3192,176740,23673,25485,3413,179546,50927,6821,55270,7403,305561,40927,41715,5587,292970,62993,8437,77185,10338,377960,50624,50129,6714,351193,72482,9708,97138,13011,434894,58250,56293,7540,393425,96784,12963,143008,19155,580703,77780,72949,9771,503692,67465,2019/10/1,2,14244,1908,11541,1546,85465,11447,12454,1668,87836,105698,14157,151869,20341,634188,84944,80387,10767,548636,67,2025/3/1,144,74,822,2294,1720,2007,11679,76,1889,2019
42-227-39936,4222739936,42-227-39936-00,4.22274E+11,42-227-39936-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-39936,1,SYCAMORE G 12LS,US,TX,HOWARD,53639,SYCAMORE G,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/9/1,32.348906,-101.669463,32.371667,-101.676998,7810,16167,8,SPRABERRY,BAUER & COCKRELL,A,589,,40,,,,SYCAMORE G,2019,2019-Q3,Sep-19,2579,ACTUAL,2554,ACTUAL,ACTUAL,2018/12/21,2018/12/19,2019/1/22,2019/4/26,2019/4/26,2019/9/24,SLICKWATER HC,8545,16018,7473,7991,27574540,743030,2019/10/16,,748,100,4487,664,89,503,67,2918,390,,,,PUMPING,39,,47442,6348,39028,5223,284650,38090,40937,5478,200933,98912,13236,109169,14608,593471,79415,80717,10801,407524,129907,17384,162025,21681,779443,104301,102903,13770,524261,156796,20982,216265,28940,940777,125890,120752,16158,619417,276248,36966,536655,71813,1657485,221796,186805,24997,990130,132494,2019/11/1,3,26310,3521,26567,3555,157858,21124,22171,2967,114247,351819,47079,842488,112738,2110912,282472,211404,28289,1146047,67,2025/3/1,532,5125,3606,20268,68327,8880,58763,60,3985,2019
42-227-39941,4222739941,42-227-39941-00,4.22274E+11,42-227-39941-00-00,4.22274E+13,8.4042E+14,8.40421E+14,42-227-39936,1,SYCAMORE F 9AA,US,TX,HOWARD,52917,SYCAMORE F,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/9/1,32.348861,-101.669516,32.371605,-101.677101,7808,16578,8,SPRABERRY,BAUER & COCKRELL,A,589,,40,,,,SYCAMORE F,2019,2019-Q3,Sep-19,2577,ACTUAL,2552,ACTUAL,ACTUAL,2018/12/21,2018/12/20,2019/1/24,2019/5/2,2019/5/2,2019/9/19,SLICKWATER HC,8967,16440,7473,8006,37903360,987102,2019/10/7,,1475,197,8850,1305,175,1020,136,2005,268,,,,PUMPING,39,,66210,8860,62154,8317,397260,53159,55851,7474,170896,118172,15813,159338,21322,709034,94879,91616,12260,312370,149419,19994,233944,31305,896512,119967,110428,14777,387913,190983,25556,358253,47940,1145897,153338,131274,17566,472977,340134,45515,956883,128045,2040807,273091,180654,24174,684402,91583,2019/10/1,2,35618,4766,45443,6081,213707,28597,30736,4113,72694,454011,60753,1537852,205788,2724064,364521,197702,26456,770657,67,2025/3/1,92,14019,500,59909,321436,6336,33363,44,7779,2019
42-317-42017,4231742017,42-317-42017-01,4.23174E+11,42-317-42017-01-00,4.23174E+13,8.4042E+14,8.40421E+14,42-317-42017,,TOE NAIL G 13LM,US,TX,MARTIN,53770,TOE NAIL G,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,UNREPORTED,,,DIRECTIONAL,TREND AREA,2020/4/1,32.111045,-101.9957,32.109941,-101.995863,8539,8691,8,SPRABERRY,T&P RR CO,38,750,,2,1S,,,TOE NAIL G,2020,2020-Q2,Apr-20,2777,ACTUAL,2749,ACTUAL,ACTUAL,2019/1/8,2019/1/2,2019/2/22,,2019/5/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
42-317-42017,4231742017,42-317-42017-00,4.23174E+11,42-317-42017-00-00,4.23174E+13,8.4042E+14,8.40421E+14,42-317-42017,1,TOE NAIL G 13LM,US,TX,MARTIN,53770,TOE NAIL G,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2020/4/1,32.111045,-101.9957,32.082317,-101.987152,8630,19122,8,SPRABERRY,T&P RR CO,38,750,,2,1S,,,TOE NAIL G,2020,2020-Q2,Apr-20,2777,ACTUAL,2749,ACTUAL,ACTUAL,2019/1/8,2019/1/2,2019/2/22,2019/5/25,2019/5/25,2020/2/9,SLICKWATER HC,8785,18947,10162,10148,22427389,409817,2020/2/24,,618,61,3708,546,54,432,43,2942,290,,,,PUMPING,38,,37089,3650,23275,2290,222534,21899,33210,3268,178785,65347,6431,49519,4873,392084,38583,57094,5618,307240,85023,8367,70069,6895,510136,50200,73344,7218,394547,96237,9470,83774,8244,577424,56822,82275,8096,442481,139572,13735,130944,12886,837429,82408,117748,11587,632222,62214,2020/4/1,1,12711,1251,9767,961,76268,7505,11683,1150,62915,147965,14561,139966,13774,887791,87364,124637,12265,668785,60,2025/3/1,95,71,500,2319,2329,1931,10217,84,1123,2020
42-317-42018,4231742018,42-317-42018-00,4.23174E+11,42-317-42018-00-00,4.23174E+13,8.4042E+14,8.40421E+14,42-317-39844,1,TOE NAIL G 14HB,US,TX,MARTIN,53770,TOE NAIL G,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2020/4/1,32.111067,-101.995608,32.082532,-101.985872,9472,19984,8,SPRABERRY,T&P RR CO,38,750,,2,1S,,,TOE NAIL G,2020,2020-Q2,Apr-20,2773,ACTUAL,2748,ACTUAL,ACTUAL,2019/1/8,2019/1/2,2019/2/20,2019/8/1,2019/8/1,2020/2/16,SLICKWATER HC,9537,19762,10225,10329,15241425,334171,2020/2/22,64,730,71,4380,616,60,684,67,2044,200,1120,260,,FLOWING,38,,43438,4248,36582,3578,260628,25489,37341,3652,123993,77178,7548,77719,7601,463070,45288,64225,6281,213333,100843,9862,109843,10743,605061,59175,82536,8072,274232,114478,11196,131205,12832,686869,67175,92611,9057,307764,166782,16311,204052,19956,1000693,97867,132773,12985,441806,43208,2020/4/1,1,14750,1443,15338,1500,88500,8655,13132,1284,43593,176921,17303,217676,21289,1061524,103817,140641,13755,468228,60,2025/3/1,109,106,366,2793,3491,2211,7442,79,1548,2020
42-317-42019,4231742019,42-317-42019-00,4.23174E+11,42-317-42019-00-00,4.23174E+13,8.4042E+14,8.40421E+14,42-317-39844,1,TOE NAIL G 15JM,US,TX,MARTIN,53770,TOE NAIL G,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2020/4/1,32.11109,-101.995514,32.082384,-101.985998,8360,18977,8,SPRABERRY,T&P RR CO,38,750,,2,1S,,,TOE NAIL G,2020,2020-Q2,Apr-20,2773,ACTUAL,2748,ACTUAL,ACTUAL,2019/1/8,2019/1/2,2019/2/19,2019/7/17,2019/7/17,2020/2/7,SLICKWATER HC,8560,18801,10241,10329,22902212,408942,2020/2/24,,427,42,2561,371,36,335,33,3438,336,,,,PUMPING,39,,25583,2498,18016,1759,153496,14988,22580,2205,208969,45213,4415,38294,3739,271280,26490,38831,3792,359145,58920,5753,54142,5287,353517,34520,49896,4872,461239,66763,6519,64692,6317,400578,39115,55981,5466,517304,97007,9472,100772,9840,582039,56834,80211,7832,739405,72200,2020/4/1,1,8738,853,7556,738,52430,5120,7942,775,73531,102873,10045,107569,10504,617235,60271,84944,8295,782281,60,2025/3/1,65,53,587,1620,1746,1329,11989,83,1266,2020
42-173-38060,4217338060,42-173-38060-00,4.21734E+11,42-173-38060-00-00,4.21734E+13,8.4042E+14,8.40421E+14,42-173-37832,1,COLT 45 12LM,US,TX,GLASSCOCK,50649,COLT 45,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/10/1,31.855481,-101.73581,31.824888,-101.72646,7922,19156,8,SPRABERRY,T&P RR CO,36,407,,33,3S,,,COLT 45,2019,2019-Q4,Oct-19,2640,ACTUAL,2609,ACTUAL,ACTUAL,2019/1/14,2019/1/8,2019/3/16,2019/7/3,2019/7/3,2019/10/17,,8712,18969,10257,11068,,,2019/11/20,,911,89,5464,781,76,778,76,3399,331,,,,PUMPING,38,,36619,3570,31390,3060,219713,21421,31387,3060,136708,84344,8223,99711,9721,506062,49338,67725,6603,295601,111400,10861,142082,13852,668399,65165,87720,8552,383487,132049,12874,180617,17609,792297,77244,101947,9939,446346,194084,18922,296471,28904,1164505,113533,144672,14105,638742,62274,2019/12/1,3,22234,2168,25071,2444,133407,13006,18679,1821,81416,206043,20088,313724,30586,1236256,120528,153755,14990,681484,66,2025/3/1,124,212,602,2645,3761,2019,9703,75,2040,2019
42-329-43054,4232943054,42-329-43054-00,4.23294E+11,42-329-43054-00-00,4.23294E+13,8.4042E+14,8.40421E+14,42-329-43054,1,TIGER 1 2,US,TX,MIDLAND,52026,TIGER 1,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2019/5/1,31.801722,-101.776117,31.801722,-101.776117,11360,11360,8,SPRABERRY,T&P RR CO,37,1365,,1,4S,,,,2019,2019-Q2,May-19,2633,ACTUAL,2616,ACTUAL,,2019/1/14,2019/1/2,2019/2/2,2019/2/17,2019/2/17,2019/5/12,HYBRID CROSSLINKER/LINEAR GEL HC,6936,11250,4314,,1936767,65282,2019/5/19,48,391,,2343,312,,471,,1208,,1100,200,,PUMPING,39,,15762,,28705,,94573,,10978,,50932,25923,,49573,,155537,,17661,,83070,30871,,60511,,185226,,20786,,98652,35763,,67431,,214580,,24525,,117993,64136,,112477,,384815,,45390,,243408,,2019/7/1,3,5961,,10131,,35767,,4309,,20236,98315,,176562,,589890,,68888,,449117,71,2025/3/1,747,2674,7896,12332,23477,8419,83874,70,2563,2019
42-173-38059,4217338059,42-173-38059-00,4.21734E+11,42-173-38059-00-00,4.21734E+13,8.4042E+14,8.40421E+14,42-173-37833,1,COLT 45 16LM,US,TX,GLASSCOCK,50649,COLT 45,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/10/1,31.82414,-101.732207,31.851548,-101.740835,7952,18040,8,SPRABERRY,T&P RR CO,36,413,,45,3S,,,COLT 45,2019,2019-Q4,Oct-19,2640,ACTUAL,2614,ACTUAL,ACTUAL,2019/1/15,2019/1/8,2019/3/4,2019/6/18,2019/6/18,2019/10/30,SLICKWATER HC,8274,17904,9630,9828,20282524,466380,2019/11/17,,540,56,3237,466,48,441,46,3569,371,,,,PUMPING,39,,21589,2242,17683,1836,129531,13451,18641,1936,143032,49794,5171,56310,5847,298767,31025,40409,4196,311297,65924,6846,80390,8348,395545,41074,52526,5454,405893,78312,8132,102398,10633,469872,48793,61246,6360,474636,116831,12132,169635,17615,700984,72792,88558,9196,698025,72484,2019/12/1,3,13114,1362,14177,1472,78686,8171,11111,1154,85363,124976,12978,180115,18704,749855,77867,94957,9861,754936,66,2025/3/1,94,133,883,1878,2331,1490,13782,76,1897,2019
42-173-38066,4217338066,42-173-38066-00,4.21734E+11,42-173-38066-00-00,4.21734E+13,8.4042E+14,8.40421E+14,42-173-37612,1,COLT 45 15LL,US,TX,GLASSCOCK,50649,COLT 45,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/11/1,31.853894,-101.739561,31.823861,-101.731126,8124,19060,8,SPRABERRY,T&P RR CO,36,407,,33,3S,,,COLT 45,2019,2019-Q4,Nov-19,2642,ACTUAL,2612,ACTUAL,ACTUAL,2019/1/15,2019/1/10,2019/3/20,2019/6/17,2019/6/17,2019/11/5,,8655,18855,10200,10680,,,2019/11/20,,921,90,5523,770,75,903,89,2608,256,,,,PUMPING,39,,47385,4646,57513,5639,284308,27873,37799,3706,128264,86890,8519,124714,12227,521340,51112,66104,6481,224695,112833,11062,173416,17002,676996,66372,83930,8228,285714,131940,12935,214273,21007,791637,77611,96227,9434,328008,191770,18801,337297,33068,1150623,112806,135554,13290,465633,45650,2019/12/1,2,22547,2210,29085,2851,135279,13263,18421,1806,62476,203254,19927,355755,34878,1219522,119561,143961,14114,496241,65,2025/3/1,124,243,465,2744,4322,2023,7499,71,2471,2019
42-173-38067,4217338067,42-173-38067-00,4.21734E+11,42-173-38067-00-00,4.21734E+13,8.4042E+14,8.40421E+14,42-173-37566,1,COLT 45 13LL,US,TX,GLASSCOCK,50649,COLT 45,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/10/1,31.825067,-101.728383,31.852663,-101.736203,8121,18210,8,SPRABERRY,T&P RR CO,36,413,,45,3S,,,COLT 45,2019,2019-Q4,Oct-19,2657,ACTUAL,2631,ACTUAL,ACTUAL,2019/1/15,2019/1/10,2019/3/6,2019/5/18,2019/5/18,2019/10/20,SLICKWATER HC,8447,18078,9631,9854,20263171,444650,2019/11/20,,848,88,5087,729,76,713,74,4388,456,,,,PUMPING,39,,34140,3545,28767,2987,204840,21269,29346,3047,176929,78826,8185,91372,9487,472956,49108,63597,6603,385126,104349,10835,130193,13518,626093,65008,82650,8582,502206,123935,12868,165495,17184,743611,77210,96353,10004,587315,184434,19150,271583,28199,1106605,114900,139170,14450,864210,89732,2019/12/1,3,20748,2154,22974,2385,124486,12926,17490,1816,105600,197040,20459,287363,29837,1182240,122754,149146,15486,934937,66,2025/3/1,145,193,1099,2890,3438,2317,17149,76,1927,2019
42-173-38068,4217338068,42-173-38068-00,4.21734E+11,42-173-38068-00-00,4.21734E+13,8.4042E+14,8.40421E+14,42-173-37612,1,COLT 45 14LM,US,TX,GLASSCOCK,50649,COLT 45,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2019/10/1,31.853942,-101.739378,31.824332,-101.729274,7935,18895,8,SPRABERRY,T&P RR CO,36,407,,33,3S,,,COLT 45,2019,2019-Q4,Oct-19,2642,ACTUAL,2612,ACTUAL,ACTUAL,2019/1/15,2019/1/10,2019/3/20,2019/6/4,2019/6/4,2019/10/28,,8465,18722,10257,10704,,,2019/11/20,,796,78,4778,684,67,674,66,3638,355,,,,PUMPING,39,,32020,3122,27193,2651,192121,18731,27488,2680,146320,73702,7186,86372,8421,442210,43113,59306,5782,316382,97321,9488,123066,11998,583926,56929,76810,7489,410444,115334,11244,156433,15251,692005,67467,89262,8703,477717,169409,16516,256694,25026,1016454,99099,126627,12345,683611,66648,2019/12/1,3,19438,1895,21716,2117,116629,11371,16358,1595,87140,179822,17532,271601,26480,1078931,105190,134555,13118,729342,66,2025/3/1,108,183,644,2302,3247,1760,10380,75,2019,2019
42-329-43053,4232943053,42-329-43053-00,4.23294E+11,42-329-43053-00-00,4.23294E+13,8.4042E+14,8.40421E+14,42-329-43053,1,TIGER 1,US,TX,MIDLAND,52026,TIGER 1,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,TREND AREA,2019/5/1,31.801661,-101.781216,31.801661,-101.781216,11370,11370,8,SPRABERRY,T&P RR CO,37,1365,,1,4S,,,,2019,2019-Q2,May-19,2631,ACTUAL,2616,ACTUAL,,2019/1/15,2019/1/2,2019/3/12,2019/3/25,2019/3/25,2019/5/16,HYBRID CROSSLINKER/LINEAR GEL HC,8535,11255,2720,,1926929,65488,2019/5/23,48,398,,2388,220,,1068,,1148,,400,375,,PUMPING,39,,27998,,69611,,167987,,16396,,49268,40853,,108756,,245120,,22727,,68772,49214,,128121,,295281,,27860,,84919,55745,,139637,,334469,,32472,,99786,91436,,200044,,548616,,58095,,190269,,2019/6/1,2,11132,,26626,,66790,,6694,,20187,127867,,247399,,767202,,86634,,317047,71,2025/3/1,902,1428,4507,12474,13744,10184,49059,68,2856,2019
42-173-38097,4217338097,42-173-38097-00,4.21734E+11,42-173-38097-00-00,4.21734E+13,8.4042E+14,8.40421E+14,42-173-38097,1,LONELY HENDRIX 1,US,TX,GLASSCOCK,52828,LONELY HENDRIX,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,VERTICAL,SPRABERRY,2019/6/1,31.901336,-101.728584,31.901741,-101.72813,11033,11033,8,SPRABERRY R 40 EXC,T&P RR CO,36,924,,14,3S,,,,2019,2019-Q2,Jun-19,2616,ACTUAL,2599,ACTUAL,ACTUAL,2019/2/4,2019/1/31,2019/4/10,2019/4/21,2019/4/21,2019/6/18,,8315,10228,1913,,,,2019/9/7,,136,,818,97,,236,,305,,,,,PUMPING,39,,4644,,6786,,27864,,3513,,35552,11753,,22141,,70519,,8063,,82222,15223,,28537,,91339,,10467,,104532,17590,,33506,,105542,,12006,,117496,31366,,55967,,188195,,22038,,134973,,2019/9/1,4,3397,,7941,,20379,,2507,,25822,39371,,72730,,236224,,27249,,134973,70,2025/3/1,217,519,0,3696,6224,2659,0,69,2669,2019
42-317-42147,4231742147,42-317-42147-00,4.23174E+11,42-317-42147-00-00,4.23174E+13,8.4042E+14,8.40421E+14,42-317-42147,1,TOE NAIL L 1LM,US,TX,MARTIN,54106,TOE NAIL L,OCCIDENTAL,OXYROCK OPERATING  LLC,CROWNQUEST OPERATING,NOT REPORTED,OIL (40%+ WH LIQUIDS),OIL_WELL,OIL,PERMIAN,MIDLAND,MIDLAND,PRODUCING,PRODUCING,,,HORIZONTAL,TREND AREA,2020/1/1,32.110228,-102.002595,32.080855,-101.993189,8696,19505,8,SPRABERRY,T&P RR CO,38,750,,2,1S,,,TOE NAIL L,2020,2020-Q1,Jan-20,2816,ACTUAL,2785,ACTUAL,ACTUAL,2019/2/28,2019/2/20,2019/8/15,2019/9/2,2019/9/2,2020/1/5,SLICKWATER HC,9088,19269,10181,10541,20803467,357670,2020/2/21,,902,89,5410,800,79,610,60,2763,271,,,,PUMPING,39,,63811,6268,45555,4475,382863,37606,56218,5522,191004,123253,12106,110036,10808,739520,72637,104914,10305,361950,160020,15717,160905,15804,960117,94305,133202,13083,467202,191118,18772,211760,20800,1146710,112632,155825,15305,556380,318556,31289,476988,46851,1911336,187736,239058,23481,965032,94788,2020/3/1,3,27729,2724,23972,2355,166371,16341,24267,2384,82196,365029,35854,602941,59222,2190175,215124,264539,25984,1175234,63,2025/3/1,370,3250,3915,22176,66767,11048,104719,72,2279,2020
